first_name,last_name,age,favorite_os,IQ
Beckham,Davis,55,iOS,128.0
Cole,Johnson,41,AndroidOS,114.0
Landon,Baker,63,Windows,126.0
Shannon,Bailey,73,,87.0
Nash,Davis,60,AndroidOS,118.0
Kimberly,White,71,,
Austin,Coleman,69,iOS,122.0
Ashton,Lopez,64,AndroidOS,97.0
Abdul,Jackson,74,,117.0
Ashley,Russel,21,iOS,124.0
Remington,Thomas,43,AndroidOS,120.0
Christina,Lee,44,AndroidOS,95.0
Jack,Morgan,29,AndroidOS,97.0
Zoe,Lee,43,iOS,115.0
Jonathan,Ramirez,32,AndroidOS,110.0
Abdul,Cox,70,iOS,116.0
Hope,Wood,41,iOS,122.0
Legend,Adams,20,iOS,87.0
Sawyer,Cook,27,iOS,94.0
Teresa,Morris,36,iOS,91.0
Steve,Hall,52,iOS,92.0
Blake,Robinson,66,iOS,93.0
Millie,Castillo,48,iOS,
Minho,Kelly,44,iOS,123.0
Jameson,Mitchell,74,,99.0
Lilly,Evans,64,iOS,85.0
King,Moore,25,iOS,
Silas,Wright,40,iOS,88.0
Silas,Gonzalez,25,iOS,86.0
Daisy,Moore,71,,114.0
Everleigh,,42,Windows,86.0
Jonathan,Ramirez,48,iOS,109.0
Christian,Foster,39,iOS,90.0
Myles,Cruz,38,iOS,117.0
Ivor,Palmer,70,iOS,113.0
Avery,Long,66,iOS,114.0
Ron,Flores,39,iOS,109.0
Mark,Bailey,72,,
Alex,Cox,52,iOS,94.0
Harry,Gonzalez,50,iOS,126.0
Andrea,Long,45,iOS,103.0
Nash,Powell,44,AndroidOS,124.0
Tucker,Anderson,39,AndroidOS,92.0
Easton,Powell,20,AndroidOS,89.0
Emmet,Hill,69,iOS,122.0
Eleanor,Flores,28,iOS,94.0
Tucker,Bennet,21,iOS,101.0
Hailey,Myers,35,iOS,93.0
Mary,Harris,37,AndroidOS,93.0
Jaxon,Myers,35,iOS,128.0
Braxton,Wright,35,iOS,95.0
Emmet,Ramos,34,AndroidOS,102.0
Bryson,Rogers,51,AndroidOS,86.0
Everett,Jackson,30,iOS,95.0
Merlin,Roberts,29,iOS,110.0
Brandon,Lee,27,iOS,126.0
Eloise,Sanders,58,iOS,86.0
Tom,Morales,21,iOS,90.0
Ashley,Gonzalez,25,AndroidOS,104.0
Edward,Mendoza,59,iOS,101.0
River,Green,57,iOS,120.0
Colton,Chavez,32,iOS,124.0
Wyatt,Mitchell,58,iOS,115.0
Wesley,Russel,30,AndroidOS,127.0
Spencer,Kim,24,AndroidOS,92.0
Jon,Garcia,69,iOS,87.0
Wesley,Evans,73,,86.0
Lisa,Youmg,65,iOS,106.0
Josie,Baker,26,AndroidOS,108.0
Lucy,Cook,71,,103.0
Emmet,Jackson,30,AndroidOS,98.0
Wesley,Gomez,73,,97.0
Myles,Cook,39,AndroidOS,87.0
Austin,Peterson,36,iOS,121.0
Faith,Peterson,28,iOS,
Paige,Garcia,73,,98.0
Olive,Reed,30,iOS,123.0
Colton,Jenkins,23,iOS,107.0
Bryson,Nelson,47,iOS,122.0
Bryson,Jackson,69,iOS,90.0
Jack,Hill,23,iOS,
Teresa,Collins,20,iOS,96.0
Ron,Parker,24,AndroidOS,115.0
Bentley,Lopez,51,iOS,107.0
Vanessa,Stewart,27,iOS,118.0
Scarlett,Campbell,55,AndroidOS,112.0
Robert,Reese,52,iOS,116.0
Merlin,Bennet,51,iOS,88.0
Lincoln,Lopez,42,iOS,89.0
Karter,Coleman,31,iOS,
Lena,Chavez,64,iOS,87.0
Bryce,Williams,57,iOS,105.0
Arthur,Ramos,52,AndroidOS,86.0
Ella,Youmg,38,iOS,86.0
Gideon,Jenkins,38,iOS,103.0
Alexis,Miller,61,AndroidOS,86.0
Preston,Guiterrez,37,iOS,93.0
Fridge,Parker,37,iOS,88.0
Madeline,Cox,21,iOS,111.0
Mary,Lewis,20,iOS,
Cole,Parker,66,AndroidOS,110.0
Jonathan,Nguyen,55,AndroidOS,93.0
Gunther,Nelson,30,AndroidOS,104.0
Hayden,Price,45,AndroidOS,96.0
Tucker,Turner,51,iOS,97.0
Brooks,Nguyen,70,iOS,88.0
Holden,Sancherz,34,iOS,106.0
Bentley,Lewis,56,iOS,104.0
Edward,Diaz,21,iOS,98.0
Hazel,Brown,62,AndroidOS,122.0
Fridge,Morris,51,AndroidOS,105.0
Beckham,Colon,29,AndroidOS,106.0
Blakely,Alvarez,58,iOS,104.0
Tucker,Long,27,iOS,110.0
Eloise,Collins,34,iOS,90.0
Everleigh,Green,53,iOS,110.0
Taylor,AllenKing,40,AndroidOS,112.0
Braxton,Anderson,23,iOS,120.0
Remington,Pierce,46,iOS,97.0
Steve,Chavez,29,iOS,85.0
Zoe,Reed,51,AndroidOS,109.0
Presley,Ramos,29,iOS,119.0
Faith,Morgan,39,iOS,103.0
Ella,Pierce,69,iOS,105.0
Millie,Phillips,20,AndroidOS,95.0
Sawyer,Ortiz,42,iOS,126.0
Bennet,Watson,37,AndroidOS,92.0
Ella,Stewart,65,iOS,109.0
River,Hughes,22,AndroidOS,123.0
Lincoln,Scott,33,iOS,94.0
Tom,Cooper,56,iOS,114.0
Kingston,Lewis,35,iOS,116.0
Lauren,Smith,43,AndroidOS,107.0
Scarlett,Little,43,Windows,127.0
Legend,Davis,70,AndroidOS,125.0
Lena,Gonzalez,46,Windows,86.0
Vanessa,Mitchell,50,iOS,118.0
Emmet,Johnson,67,iOS,112.0
Spencer,Lee,31,AndroidOS,124.0
Mason,Howard,30,AndroidOS,125.0
Braxton,Turner,62,iOS,
Bruce,Hall,55,iOS,108.0
Hunter,Gonzalez,53,iOS,
Madison,Perez,74,,101.0
Bennet,Edwards,72,,88.0
Piper,James,41,iOS,127.0
Blake,Edwards,53,iOS,112.0
Jameson,Little,43,AndroidOS,113.0
Cole,Robinson,64,iOS,101.0
Roary,Richardson,65,iOS,
Hope,Brooks,43,iOS,100.0
Archer,Howard,39,AndroidOS,118.0
Blake,Moore,51,AndroidOS,96.0
Avery,Jones,51,iOS,100.0
Hope,Reese,23,iOS,95.0
Lauren,Patel,69,iOS,96.0
Beckham,Youmg,32,iOS,122.0
Christina,Patel,50,AndroidOS,85.0
Tom,Cox,38,iOS,119.0
Avery,Ortiz,33,AndroidOS,86.0
Alyssa,Lopez,26,AndroidOS,85.0
Steve,Jimenez,61,iOS,99.0
Legend,Gomez,32,iOS,95.0
Dean,Alvarez,68,AndroidOS,118.0
Lincoln,Wilson,66,iOS,127.0
Alyssa,Colon,55,iOS,93.0
King,Nguyen,56,iOS,91.0
Tom,Jones,20,iOS,90.0
Alby,Wright,29,AndroidOS,113.0
Blakely,Rivera,44,AndroidOS,94.0
Jon,Powell,26,AndroidOS,
River,Palmer,49,AndroidOS,94.0
Parker,Jones,71,,95.0
Hudson,Murphy,27,Windows,105.0
Alby,Taylor,62,iOS,99.0
Cahrlie,Lopez,74,,101.0
Paige,Collins,50,AndroidOS,88.0
Karter,Jackson,58,iOS,95.0
Archer,Gomez,26,iOS,104.0
Andrey,Hall,35,iOS,125.0
Everleigh,Long,67,iOS,115.0
Hunter,Palmer,34,iOS,110.0
Bentley,,56,iOS,100.0
Paul,Williams,34,iOS,114.0
Walker,Moore,35,iOS,116.0
Paige,Reese,30,AndroidOS,
Leo,Foster,34,iOS,116.0
Ashley,Kim,58,AndroidOS,125.0
Walker,Sanders,20,iOS,89.0
Gracie,James,26,AndroidOS,94.0
Jonathan,Wood,53,iOS,96.0
Alex,Colon,74,,117.0
Hope,Patel,49,iOS,95.0
,Cox,26,iOS,92.0
Bryson,Baker,28,iOS,95.0
Jack,Little,39,AndroidOS,128.0
Ashley,Thomas,30,iOS,106.0
Jameson,Smith,70,iOS,95.0
Emma,Green,26,iOS,120.0
Jackson,Rogers,48,AndroidOS,96.0
Remington,Ross,46,iOS,94.0
Daisy,AllenKing,52,iOS,
Presley,Wood,32,AndroidOS,125.0
Walker,Smith,42,AndroidOS,113.0
Rhett,Fry,40,iOS,127.0
Paige,Gonzalez,70,AndroidOS,113.0
Brooks,Baker,39,iOS,100.0
Marley,Ross,43,iOS,86.0
Walker,Jones,69,iOS,118.0
Landon,Nguyen,32,iOS,88.0
,Cooper,49,AndroidOS,88.0
Madison,Lee,62,AndroidOS,113.0
Harry,Gonzalez,57,AndroidOS,112.0
Miles,Morales,47,AndroidOS,128.0
Easton,Reyes,62,Windows,118.0
Legend,Moore,20,iOS,98.0
Bryson,Smith,44,AndroidOS,95.0
Millie,Foster,26,iOS,121.0
Wyatt,Bloom,70,iOS,113.0
Jonathan,Wright,42,AndroidOS,121.0
Natasha,Phillips,62,iOS,113.0
King,Brooks,67,iOS,112.0
Scarlett,Perez,45,AndroidOS,96.0
Hazel,Hughes,52,iOS,119.0
Graham,Wilson,35,iOS,85.0
Hadley,Morgan,62,AndroidOS,110.0
Fridge,Richardson,55,AndroidOS,112.0
Karter,Walker,48,iOS,97.0
Ashley,Cooper,71,,108.0
Ivy,Flores,34,iOS,114.0
Archer,Reyes,64,iOS,122.0
Steven,Mitchell,66,Windows,92.0
Alex,Walker,31,AndroidOS,97.0
Bennet,Bennet,67,AndroidOS,109.0
Zoe,Chavez,51,AndroidOS,86.0
Hunter,Davis,28,iOS,108.0
Brooke,,27,AndroidOS,125.0
Sawyer,Jimenez,74,,108.0
Natasha,Edwards,36,AndroidOS,87.0
Beckett,Kim,43,iOS,118.0
Marley,Ward,25,Windows,99.0
Brooke,Cook,70,Windows,112.0
Vanessa,Hall,73,,129.0
Beckham,Sanders,32,iOS,
,Ward,37,iOS,107.0
Robert,Peterson,73,,100.0
Garett,Perry,44,iOS,103.0
Avery,Nelson,40,AndroidOS,94.0
Merlin,Castillo,63,AndroidOS,118.0
Kimberly,Wilson,21,iOS,120.0
Madeline,Gray,42,iOS,85.0
Easton,Carter,50,iOS,117.0
Oscar,Thomas,21,iOS,88.0
Olive,Murphy,57,AndroidOS,118.0
Mark,Miller,58,AndroidOS,117.0
Jameson,Nguyen,55,iOS,115.0
Ivor,Torres,61,AndroidOS,119.0
Weston,Reed,62,iOS,
Cahrlie,Wright,72,,94.0
Julian,Ross,27,iOS,96.0
Madison,Richardson,59,AndroidOS,128.0
Hadley,Fry,67,iOS,98.0
Jameson,Murphy,60,AndroidOS,92.0
Wyatt,Ruiz,60,AndroidOS,120.0
Andrea,Smith,20,iOS,91.0
Blakely,Jenkins,72,,109.0
Christina,Chavez,21,iOS,113.0
Vivian,Perez,57,iOS,90.0
Alyssa,Cooper,63,iOS,121.0
Preston,Rivera,39,iOS,88.0
Jaxon,Alvarez,61,AndroidOS,117.0
Bruce,Little,70,iOS,96.0
Wesley,Hughes,58,AndroidOS,107.0
Payton,Williams,68,iOS,113.0
Garett,Miller,65,AndroidOS,94.0
Silas,Edwards,69,AndroidOS,127.0
Zoe,Cox,51,iOS,127.0
Jon,Jackson,22,iOS,116.0
Hope,Murphy,21,iOS,101.0
Wyatt,Hall,52,AndroidOS,129.0
Cahrlie,Palmer,31,iOS,101.0
Martha,Wright,54,AndroidOS,121.0
Mark,Morris,33,iOS,128.0
Rhett,Coleman,59,iOS,87.0
Brooks,Sullivan,54,iOS,99.0
Georgia,Davis,41,iOS,107.0
Alby,Rogers,37,iOS,98.0
Silas,Bell,42,iOS,100.0
Wyatt,Cox,53,iOS,110.0
Presley,Castillo,23,AndroidOS,118.0
Mason,Miller,63,iOS,88.0
Preston,White,44,iOS,
Oscar,Perez,37,iOS,95.0
Graham,Morales,63,AndroidOS,95.0
Waylon,Brooks,69,AndroidOS,110.0
Paul,Alvarez,72,,96.0
Robert,Wood,24,AndroidOS,110.0
Ashley,Diaz,33,AndroidOS,116.0
Ellie,Lewis,43,iOS,115.0
Emmet,Brooks,72,,94.0
Jameson,Roberts,63,iOS,115.0
Emmet,Kim,53,iOS,94.0
Marley,Ramirez,28,AndroidOS,107.0
Christian,Jenkins,73,,121.0
Merlin,Anderson,28,iOS,94.0
Cole,Martinez,61,AndroidOS,96.0
Zoe,Ross,71,,124.0
Millie,Anderson,61,iOS,86.0
Harry,,23,AndroidOS,102.0
Lisa,Rodriguez,58,AndroidOS,90.0
Marley,Taylor,43,iOS,96.0
Gideon,Turner,56,AndroidOS,105.0
Ellie,Lopez,59,iOS,85.0
Piper,Green,64,iOS,124.0
Vivian,Watson,32,AndroidOS,99.0
Cole,Reese,23,iOS,89.0
Christina,Palmer,60,iOS,109.0
Avery,Walker,41,iOS,129.0
Julian,Gomez,49,AndroidOS,126.0
Brandon,Chavez,24,iOS,96.0
Robert,Colon,37,iOS,114.0
Dean,Watson,46,iOS,123.0
Nash,Smith,67,iOS,91.0
Weston,Cooper,60,iOS,87.0
Robert,Bennet,26,iOS,112.0
Brooks,Lewis,73,,105.0
Dean,AllenKing,64,iOS,103.0
Millie,Hill,46,iOS,99.0
Beckham,Wright,37,iOS,103.0
,Nguyen,45,iOS,128.0
Avery,Adams,37,Windows,
Walker,Taylor,69,iOS,86.0
Hadley,Brown,56,AndroidOS,90.0
Julian,Cooper,50,AndroidOS,90.0
Beckett,Clark,23,Windows,117.0
Remington,Martinez,38,iOS,105.0
Tucker,Martinez,52,iOS,98.0
Paul,Campbell,65,iOS,129.0
Steven,Walker,73,,114.0
Andrea,Murphy,73,,118.0
Jonathan,Patel,26,AndroidOS,126.0
Brooks,Russel,43,iOS,
Hailey,Mendoza,22,iOS,121.0
Bryson,Hall,35,iOS,104.0
Andrea,Gonzalez,43,iOS,122.0
Austin,Ortiz,73,,118.0
Waylon,Scott,51,AndroidOS,100.0
Alyssa,Campbell,50,AndroidOS,109.0
Bentley,,25,iOS,97.0
Miles,Miller,27,iOS,92.0
Jaxon,Brown,69,iOS,111.0
Lilly,Reyes,69,iOS,90.0
Cole,Castillo,70,iOS,112.0
Parker,Perry,48,AndroidOS,114.0
Presley,AllenKing,38,Windows,100.0
Shannon,Gray,25,AndroidOS,85.0
Desirae,Little,21,iOS,89.0
Weston,Youmg,32,iOS,90.0
Emmet,Turner,28,AndroidOS,93.0
Oscar,Wright,49,iOS,123.0
Lincoln,Guiterrez,23,iOS,99.0
Evelyn,Gibson,56,iOS,118.0
Millie,Harris,72,,110.0
Spencer,Mitchell,35,iOS,96.0
Colton,Peterson,45,iOS,107.0
Alex,Ramirez,36,iOS,115.0
Ellie,Perez,33,AndroidOS,114.0
Presley,Brown,56,Windows,122.0
Parker,Nelson,70,iOS,90.0
Gracie,Torres,35,iOS,126.0
Andrey,Hall,50,iOS,96.0
Ashton,Chavez,68,iOS,91.0
Parker,Alvarez,34,AndroidOS,109.0
Leo,Pierce,40,iOS,93.0
Nash,Evans,64,iOS,96.0
Weston,Davis,62,iOS,87.0
Alby,Edwards,59,AndroidOS,128.0
Teresa,Castillo,62,AndroidOS,126.0
Archer,Gonzalez,39,iOS,116.0
Mark,Harris,50,iOS,101.0
Zoe,Nelson,21,iOS,122.0
Peyton,Lewis,68,AndroidOS,126.0
Peyton,White,57,iOS,129.0
Parker,Jenkins,38,iOS,99.0
Gideon,AllenKing,54,iOS,123.0
Steve,Bloom,40,AndroidOS,105.0
Andrea,Diaz,49,Windows,99.0
Lisa,Garcia,62,iOS,115.0
Hailey,Pierce,50,AndroidOS,112.0
Ella,Coleman,69,iOS,129.0
Alex,Torres,40,AndroidOS,88.0
Gunther,Scott,50,AndroidOS,107.0
Wyatt,Sancherz,25,iOS,123.0
Josie,Long,61,iOS,103.0
Eloise,Davis,50,iOS,93.0
Piper,Gibson,63,iOS,95.0
Archer,Richardson,49,iOS,125.0
Ellie,Sanders,30,iOS,125.0
Alyssa,Davis,20,Windows,101.0
Braxton,Bloom,57,iOS,123.0
Everleigh,Colon,36,iOS,116.0
Parker,Peterson,41,AndroidOS,100.0
Evelyn,Carter,62,iOS,105.0
Jameson,AllenKing,55,iOS,129.0
River,,64,iOS,90.0
Roary,Cruz,28,iOS,94.0
Mary,Lewis,29,AndroidOS,106.0
,Brooks,35,iOS,126.0
Spencer,Thomas,46,AndroidOS,106.0
Gunther,Cook,41,iOS,109.0
Wyatt,Ramirez,59,AndroidOS,108.0
Miles,Patel,55,AndroidOS,90.0
Ron,Brooks,39,iOS,95.0
Leo,Gray,47,iOS,104.0
Paul,Jackson,63,iOS,100.0
Ashton,AllenKing,60,iOS,109.0
Lucy,Carter,66,AndroidOS,86.0
Landon,,67,iOS,125.0
Vanessa,Nguyen,60,AndroidOS,92.0
Blakely,Alvarez,44,iOS,126.0
Parker,Sullivan,40,iOS,96.0
Desirae,Castillo,58,iOS,88.0
Mary,Murphy,43,AndroidOS,115.0
Wyatt,Martin,44,AndroidOS,87.0
Wesley,Morgan,25,iOS,120.0
Austin,Diaz,25,iOS,117.0
Vivian,Phillips,61,AndroidOS,129.0
Faith,Brown,25,iOS,89.0
Hunter,Morgan,53,AndroidOS,92.0
Bentley,Gray,24,AndroidOS,
Natasha,Jenkins,62,iOS,122.0
Legend,James,48,AndroidOS,109.0
Dean,Pierce,25,AndroidOS,105.0
Taylor,Harris,22,AndroidOS,129.0
Brandon,Wright,41,iOS,109.0
Martha,Rodriguez,39,iOS,94.0
Brooke,Harris,24,AndroidOS,108.0
Ron,Rodriguez,28,iOS,94.0
Jackson,Gray,50,iOS,86.0
Hayden,Miller,37,iOS,122.0
Bentley,Scott,62,iOS,115.0
Jaxon,Jones,54,iOS,97.0
Weston,Patel,28,AndroidOS,115.0
Martha,Patel,39,iOS,111.0
Wesley,Smith,38,Windows,112.0
Blake,Rodriguez,37,AndroidOS,117.0
Holden,Nelson,51,iOS,114.0
Steven,,40,AndroidOS,125.0
Jack,Myers,63,iOS,121.0
Alby,Sullivan,72,,110.0
Jeremy,Castillo,40,iOS,114.0
Colton,,56,iOS,116.0
Andrey,Sancherz,45,iOS,99.0
Emmet,Foster,49,iOS,115.0
Steve,Hill,62,iOS,123.0
Ellie,Mitchell,62,iOS,93.0
Christina,Richardson,61,AndroidOS,91.0
Micheal,Collins,27,AndroidOS,96.0
Josie,White,74,,103.0
Blake,Gonzalez,20,AndroidOS,91.0
Remington,Robinson,62,iOS,113.0
Ella,Evans,69,AndroidOS,91.0
Myles,Lewis,32,AndroidOS,96.0
Walker,Murphy,28,AndroidOS,112.0
Gracie,Rivera,39,AndroidOS,89.0
Taylor,Reed,31,AndroidOS,99.0
Beckham,Ramirez,53,AndroidOS,99.0
Tucker,Kim,46,iOS,100.0
Desirae,Robinson,72,,119.0
Sawyer,Green,60,AndroidOS,103.0
Tyler,Long,67,AndroidOS,114.0
Mary,Nguyen,24,iOS,99.0
Kimberly,Harris,70,AndroidOS,85.0
Ivor,Morris,71,,101.0
Eleanor,Ruiz,61,iOS,121.0
Walker,Patel,62,AndroidOS,104.0
Walker,Miller,70,iOS,117.0
Hailey,Chavez,40,Windows,
Nash,AllenKing,29,Windows,89.0
Tom,Thompson,56,iOS,95.0
Faith,Wood,67,iOS,97.0
Hope,Collins,42,AndroidOS,125.0
Avery,Martin,62,iOS,126.0
Hailey,Sancherz,74,,104.0
Gunther,Wright,69,iOS,120.0
Madison,Price,33,AndroidOS,100.0
,Jimenez,58,iOS,122.0
Avery,Edwards,53,iOS,107.0
Tucker,Cox,44,AndroidOS,129.0
Arthur,Perry,43,iOS,90.0
Andrea,White,39,iOS,97.0
Millie,Lee,60,AndroidOS,108.0
Cole,Mitchell,42,iOS,115.0
Steven,James,24,AndroidOS,102.0
Beckham,Watson,47,iOS,88.0
Taylor,Robinson,72,,107.0
Bob,Hughes,25,AndroidOS,126.0
Merlin,Anderson,24,AndroidOS,106.0
Alby,Sullivan,37,AndroidOS,115.0
Andrea,Sanders,69,AndroidOS,97.0
Rhett,Wright,50,iOS,113.0
Weston,Martinez,22,iOS,115.0
Faith,Ruiz,32,AndroidOS,93.0
Everett,Scott,62,AndroidOS,127.0
Abdul,Bell,36,iOS,99.0
Nash,Gonzalez,57,iOS,91.0
Hazel,Morgan,74,,119.0
Evelyn,Long,44,AndroidOS,123.0
Faith,Ward,44,iOS,95.0
Hunter,Hall,68,iOS,116.0
Rhett,Carter,41,iOS,109.0
Nash,Wright,56,iOS,126.0
Ashley,White,29,iOS,88.0
Paige,Richardson,22,iOS,96.0
Taylor,Wood,30,iOS,95.0
Alex,Pierce,56,AndroidOS,122.0
Hudson,Colon,21,AndroidOS,99.0
Garett,Thomas,59,iOS,88.0
Ashley,Parker,37,iOS,106.0
Miles,Ross,53,iOS,123.0
,Lee,71,,97.0
Evelyn,Thomas,56,AndroidOS,115.0
Tom,Brown,51,iOS,105.0
Lauren,Coleman,40,iOS,87.0
Eleanor,Morales,22,iOS,
Alyssa,Ramirez,26,iOS,119.0
Ella,Johnson,29,Windows,
Hunter,Thompson,38,Windows,103.0
Walker,Cooper,41,iOS,121.0
Hayden,Walker,28,Windows,90.0
Micheal,Jenkins,47,AndroidOS,91.0
Rhett,Robinson,29,AndroidOS,105.0
Christian,Palmer,29,iOS,121.0
Christian,Palmer,59,iOS,95.0
Kinsley,White,65,AndroidOS,116.0
Walker,Mitchell,34,AndroidOS,86.0
Bob,Rodriguez,34,iOS,103.0
Wyatt,Nguyen,47,iOS,127.0
Legend,Lopez,22,AndroidOS,
Brooke,Little,73,,107.0
Christina,Mitchell,73,,107.0
Tucker,Long,46,iOS,127.0
Waylon,Brooks,42,AndroidOS,114.0
Brooks,Peterson,30,AndroidOS,88.0
Brandon,Cruz,20,AndroidOS,117.0
Cole,Flores,53,AndroidOS,92.0
Hope,White,20,AndroidOS,97.0
Alexis,Youmg,69,AndroidOS,91.0
Kinsley,Foster,49,AndroidOS,105.0
Hazel,Ortiz,66,AndroidOS,117.0
Shannon,Anderson,57,AndroidOS,107.0
Cole,Jones,53,iOS,118.0
Bentley,AllenKing,20,iOS,122.0
Zoe,Baker,42,iOS,108.0
Lilly,Sanders,68,AndroidOS,107.0
Hazel,Bell,72,,101.0
Vanessa,Ross,70,AndroidOS,89.0
,AllenKing,56,AndroidOS,112.0
Presley,Smith,22,iOS,91.0
Ashton,Clark,37,iOS,103.0
Jack,Cook,61,AndroidOS,118.0
Wesley,Jones,60,iOS,109.0
Graham,Gomez,56,iOS,98.0
Julian,Turner,52,AndroidOS,96.0
Leo,Cruz,32,AndroidOS,97.0
Jon,Guiterrez,49,iOS,95.0
Christina,Fry,52,iOS,102.0
Abdul,Nelson,71,,108.0
Madison,Jackson,27,iOS,95.0
Spencer,,54,AndroidOS,113.0
River,Jones,27,iOS,86.0
Micheal,Robinson,53,AndroidOS,103.0
Beckett,Guiterrez,52,iOS,119.0
Mike,Jackson,61,iOS,121.0
Steve,Robinson,46,iOS,94.0
Andrey,Moore,66,iOS,
Presley,Miller,57,iOS,85.0
Eleanor,Bloom,29,iOS,119.0
Eleanor,Stewart,60,iOS,117.0
Bryce,Miller,70,iOS,114.0
Brandon,Reese,52,iOS,97.0
Kingston,Alvarez,55,AndroidOS,112.0
Austin,Johnson,22,iOS,92.0
Mary,Chavez,27,iOS,117.0
Emma,Price,23,iOS,127.0
Jeremy,Fry,35,iOS,121.0
Leo,,34,iOS,119.0
Lena,Martinez,20,iOS,107.0
Hadley,Jones,34,AndroidOS,125.0
Eloise,Coleman,31,AndroidOS,92.0
,Sancherz,28,iOS,93.0
Faith,Richardson,58,iOS,91.0
Bentley,Murphy,61,iOS,93.0
Cole,Alvarez,44,AndroidOS,
Bradley,Mitchell,70,iOS,114.0
Jack,Phillips,64,Windows,
Mike,Patel,59,AndroidOS,89.0
Marvin,Lee,61,iOS,123.0
Tom,Mendoza,28,iOS,100.0
Mason,Reed,21,iOS,85.0
Marvin,James,35,iOS,
Rhett,Gibson,66,AndroidOS,93.0
Bennet,Jenkins,50,iOS,109.0
Gideon,Torres,23,iOS,121.0
Silas,Little,74,,125.0
Jonny,Cook,65,iOS,118.0
Mary,Turner,68,AndroidOS,86.0
Archer,Campbell,48,AndroidOS,120.0
Legend,Cooper,72,,109.0
Hailey,Cruz,57,iOS,98.0
Kimberly,Powell,35,AndroidOS,
Merlin,Sancherz,54,iOS,101.0
Scarlett,Reese,70,iOS,122.0
Bennet,Nguyen,33,iOS,97.0
Spencer,Myers,21,iOS,88.0
Emma,Jenkins,43,AndroidOS,126.0
Martha,Reese,43,AndroidOS,87.0
Ella,Howard,52,AndroidOS,122.0
Jaxon,Campbell,23,iOS,90.0
,Myers,30,AndroidOS,106.0
Julian,Sanders,48,AndroidOS,117.0
Tucker,Gibson,23,iOS,85.0
Avery,Perez,47,AndroidOS,128.0
Presley,James,74,,91.0
Miles,Stewart,27,iOS,98.0
Piper,Cooper,41,AndroidOS,99.0
Lane,Jackson,22,iOS,120.0
Bryson,Diaz,42,iOS,93.0
Presley,Howard,35,AndroidOS,88.0
Ashton,Price,53,iOS,125.0
Journee,Flores,56,AndroidOS,91.0
Bryson,White,59,AndroidOS,100.0
Natasha,Edwards,25,iOS,115.0
Easton,Gibson,74,,107.0
Everleigh,Cruz,36,iOS,114.0
Martha,Ortiz,40,iOS,104.0
Ivor,Adams,66,iOS,100.0
Spencer,Alvarez,25,iOS,
Mike,Kelly,40,iOS,112.0
Peyton,Hughes,23,iOS,112.0
Oscar,Cooper,62,iOS,92.0
Hudson,Gibson,27,AndroidOS,123.0
Mike,Little,29,iOS,127.0
Blakely,Rivera,30,AndroidOS,106.0
Mason,Price,67,iOS,127.0
Hadley,Phillips,63,AndroidOS,86.0
Eleanor,Ramirez,30,AndroidOS,128.0
Steve,Morgan,30,iOS,86.0
Mark,Miller,54,iOS,113.0
Presley,Roberts,37,iOS,90.0
Ashton,Ramos,47,iOS,115.0
